product_gf_code,product_name,product_sku,Available,Damaged,Expired,MRP
GF0123456_1652,"Chukde Haldi Powder, 100 gm",SCSSNGCKD00000042,38,0,0,27.00
GF0123456_1653,"Chukde Dhania Powder, 100 gm",SCSSNGCKD00000043,15,0,0,28.00
GF0123456_1654,"Chukde Lal Mirch Powder, 100 gm",SCSSNGCKD00000044,0,0,0,30.00
GF0123456_1654_1,"Chukde Lal Mirch Powder, 100 gm",SCSSNGCKD00000053,186,0,0,36.00
GF0123456_1655,"Chukde Lal Mirch kutti, 100 gm",SCSSNGCKD00000045,163,0,0,40.00
GF0123456_1656,"Chukde Kashmiri Mirch, 100 gm",SCSSNGCKD00000046,0,0,0,55.00
GF0123456_1657,"Chukde Garam Masala Powder, 100 gm",SCSSNGCKD00000047,0,0,0,75.00
GF0123456_1659,Boroplus Ointment 19 Ml,BDCHPCBOR00000001,0,0,0,38.00
GF0123456_166,Kiwi Express Shine Sponge Black,HOKHOKKIW00000002,0,0,0,65.00
GF0123456_1660,Boroplus Ointment 6 Ml pouch,BDCHPCBOR00000002,5690,0,0,5.00
GF0123456_1661,Boroplus Ointment 7 Ml cream,BDCHPCBOR00000004,0,0,0,10.00
GF0123456_1662,"Neha Harbal Herbals Mehandi (Henna) Herbal Base , 20 Gm",BDCHPCBOR00000003,0,0,0,12.00
GF0123456_1662_1,Neha Harbal Herbals Mehandi (Henna) Natural Base 15 Gm ,HCOPRENEH00000005,0,0,0,10.00
GF0123456_1663,"Neha Green Brown ,15 gm",HARHPCNEH00000001,0,0,0,12.00
GF0123456_1664,"Neha Herbal Herna Mehandi Black, 10 gm (Buy 10 & get 3 Ball Pen)",HARHPCNEH00000002,0,0,0,10.00
GF0123456_1664_1,"Neha Herbal Henna Mehandi Black, 10 gm",HCOPRENEH00000001,0,0,0,10.00
GF0123456_1665,"Neha Radhey Brown, 15 Gm",HARHPCNEH00000003,0,0,0,10.00
GF0123456_1666,Yippee 60gm (GET 30 NENIMEMI 10GM FREE),NDPPROYIP00000001,0,0,0,10.00
