Product ID,Product SKU,Product Name,Parent ID,Parent Name,Product Status,MRP
17683,TNCBNCLIP00000021,Lipton Green Tea Honey Lemon 25 N,PBNCHUL0168,Lipton Green Tea Bag Honey Lemon ( 25 Tea Bags ),active,160
17682,TNCBNCTET00000012,TATA Tetley Ginger Zing 50N,PTNCTET0024,TATA Tetley Ginger Zing 50N,active,200
17681,TNCBNCTTE00000034,"TATA Premium Leaf Tea, 500 gm",PTNCTAT0050,Tata Tea Premium Poly Pack 500 gm,active,209
17680,TNCBNCTTE00000033,Tata Tea Gold 500Gm,PTNCTAT0040,TATA TEA GOLD 500 GM,active,255
17679,DTBDGTVIM00000006,"Vim Bar, 115g Pack of 4",PDTBHUL0012,Vim Bar 115 gm (Pack of 4),active,40
17678,DTPDGTWHE00000008,"Wheel Clean & Fresh, 1 Kg",PDTPHUL0022,"Wheel Clean & Fresh Powder,1KG",active,50
17677,FSPBDCFOG00000001,"Fogg Marco Fragrance Body Spray, 150 ml",PFSPVIN0002,"Fogg Fresh Spicy Deo, 150 ml",active,230
17675,SHMHARLOR00000011,"Loreal Paris 6 Oil Nourish Nourishing Shampoo, 704 ml",PSHMLOR0002,Loreal 6 Oil Nourishing Shampoo 360 ml,active,360.03
17674,HCOPRELOR00000028,Loreal Casting Creme Gloss 400 Dark Brown with Free Manicure Kit (Nail Styling Kit) Worth Rs. 300/-,PHCOLOR0004,Loreal Hair Colour Casting Cream Dark Brown 400 ml,active,470.99
17672,HFWBDCPND00000004,"Ponds White Beauty Facwash, 50g",PHFWHUL0014,PDS WB FW 50G,active,79
17671,HFWBDCPRS00000005,"Pears Oil Clear Glow FW Ultra Mild, 60g",PHPCHUL1706,PEARS OIL CLR CLNS FW 60G,active,136.36
17670,HNKHNKEZE00000002,Godrej Ezee 2in1 Liquid detergent plus Fabric conditioner 500gm bottle,PHNKGOD0206,Godrej Ezee 2in1 Liquid detergent plus Fabric conditioner 500gm bottle,active,120
17669,HNKHNKAER00000012,Godrej ProtAir & Surfc DisinftSpry Aqua 240ml M190 P24,PHNKGOD0208,Godrej ProtAir & Surfc DisinftSpry Aqua 240ml M190 P24,active,190
17668,HNKHNKGOD00000010,Godrej Germ protection dish wash 250ml,PHNKGOD0210,Godrej Germ protection dish wash 250ml,active,45
17667,HNKHNKGOD00000009,Godrej Germ protection fruit and veggie wash 250ml,PHNKGOD0212,Godrej Germ protection fruit and veggie wash 250ml,active,149
17666,PROPROMTR00000006,Mtr Vada Ready Mix 200 gm,PPROMTR0080,Mtr Vada Ready Mix 200 gm,active,105
17664,BKCBKCKEL00000012,Kelloggs Oats Plain 450 Gm,PBKCKEL0002,Kelloggs Oats Plain 450 Gm,active,99
17660,HFWBDCGDP00000004,Godrej Protect Handwash 750 ml (buy 1 Get 1),PHFWGDP0002,Godrej Protect Handwash 750 ml,active,140
17659,BTSBDCCIN00000008,Godrej Cinthol Confidence+ 100Gm,PBTSGOD0006,Cinthol Deo Soap 100 gm Pack of 3,active,35
17643,FIXFIXLOC00000031,Aluminium 6 Steps -Ladder,PFIXLOC0060,Aluminium 6 Steps -Ladder,active,2780
17642,FIXFIXLOC00000030,Nilkamal Rounded Stool,PFIXLOC0062,Nilkamal Rounded Stool,active,280
17641,STSSTSLOC00000286,A5 Yellow Frame,PSTSLOC0766,A5 Yellow Frame,active,250
17640,STSSTSLOC00000285,A4 Yellow Frame,PSTSLOC0768,A4 Yellow Frame,active,250
17634,BICPROPRI00000038,Priyagold Butter Delite Namkeen Jeera Biscuit 200 Gm,PBICPRI0004,Priyagold Butter Lite Jeera 200 gm,active,20
17633,BICPROPRI00000037,Priyagold Marie Lite Biscuit 80 gm,PBICPRI0006,"Priyagold Marie Lite Biscuits, 80 gm",active,10
17632,FIXFIXGOD00000001,Godrej Locker,PFIXLOC0064,Locker,active,6500.03
17629,SASPROMAG00000005,"Maggi Tomato Ketchup, 1 KG Bottle with free mrp 60 ketchup",PSASNES0014,Maggi Rich Tomato Ketchup 1 Kg,active,147
17623,PROPROTOP00000048,Tops Jam Pineapple Bottle 475 Gm,PPROTOP0306,TOPS JAM PINEAPPLE BT 500g,active,150
17620,SASPROTOP00000035,"Tops Green Chilli Sauce, 1.15 Kg",PSASTOP0010,Tops Green Chilli Souce 1.15 kg,active,95
17618,PKPPROTOP00000116,Tops Gold Mixed Pickle Jar 950 Gm,PPKPTOP0024,TOPS PICKLEPREM MIXED JR 950gm,active,165
