Product ID,Product SKU ID,Match,Product Name,Product Status,MRP,MRP Status,MRP Approval Status,Remarks,MRP
3901,LQCHNKCOM00000005,LQCHNKCOM00000005,Comfort Fabric Conditioner Morning fresh 18gm,TRUE,NA,NA,NA,Product is Active but price not found,3
3908,STSSTSUNB00000004,STSSTSUNB00000004,Doms Dust free eraser,TRUE,NA,NA,NA,Product is Active but price not found,3
5922,STSSTSLOC00000003,STSSTSLOC00000003,Apsara Non Dust Eraser,TRUE,NA,NA,NA,Product is Active but price not found,3
6046,HCOPREDOV00000001,HCOPREDOV00000001,Dove Anti Dandruff Shampoo 7.5 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
6053,HCOPREDOV00000003,HCOPREDOV00000003,Dove Daily Shine Shampoo 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
6054,HCOPREDOV00000004,HCOPREDOV00000004,Dove Daily Shine Shampoo 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
6156,HMIHNKCOM00000001,HMIHNKCOM00000001,Comfort Sachet 20 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
6158,HMIHNKLOC00000007,HMIHNKLOC00000007,Disposer,TRUE,NA,NA,NA,Product is Active but price not found,3
9267,HPCHPCGAR00000002,HPCHPCGAR00000002,Garnier Fructis Long & Strong 6.5Ml,TRUE,NA,NA,NA,Product is Active but price not found,3
9282,HPCHPCLOR00000003,HPCHPCLOR00000003,Loreal Total Repair Shampoo 5.5 Ml ,TRUE,NA,NA,NA,Product is Active but price not found,3
9352,HPCHPCPAT00000015,HPCHPCPAT00000015,Patanjali Milk Protin Kesh Kanti 8 Ml,TRUE,NA,NA,NA,Product is Active but price not found,3
15626,BNCBNCLOC00000121,BNCBNCLOC00000121,Strepsils Orange ,TRUE,NA,NA,NA,Product is Active but price not found,3
14209,HPCHPCCLI00000005,HPCHPCCLI00000005,Cliic plus twin sachet 5.5 ml shampoo and 6 ml conditioner ,TRUE,NA,NA,NA,Product is Active but price not found,3
13027,HPCHPCPAN00000018,HPCHPCPAN00000018,Pantene Daily Moisture Renewal Shampoo 7.5 Ml ,TRUE,NA,NA,NA,Product is Active but price not found,3
13028,HPCHPCPAT00000029,HPCHPCPAT00000029,Patanjali Kesh Kati Haiir Clensee Silk & Shine 8 Ml ,TRUE,NA,NA,NA,Product is Active but price not found,3
14226,HPCHPCLOC00000312,HPCHPCLOC00000312,Clear anti dandruff ice cool menthol 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
16067,HNKHNKLOC00001256,HNKHNKLOC00001256,CALENDER SMALL 3/,TRUE,NA,NA,NA,Product is Active but price not found,3
14266,HPCHPCDOV00000054,HPCHPCDOV00000054,Dove hair fall rescue shampoo 7.5 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
14488,HPCHPCSUN00000020,HPCHPCSUN00000020,Sunsilk CO-CREATIONS lusciously thick & long shampoo 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
