Parent Name ,Brand,Category,HSN,GST,Cess,Surcharge,Brand Case Size,Inner Case Size
Priyagold Coconut cookies (Buy1get1free),Priyagold,processed_food,19053100,18%,0%,0,40,1
Dabur Hing Goli 90 Nos,Dabur,beverage_and_confectionary,30049062,12%,0%,0,1,1
Dabur Sharbaat E Azam 750 Ml ,Dabur,beverage_and_confectionary,21069011,18%,0%,0,1,1
Haldiram Cheezi Ball (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,180,12
Del Monte Tomato Puree 825Gm,Local brand,processed_food,21032000,12%,0%,0,1,1
Delmonte Mixed Fruit Drink Juice Tetra 1 Ltr ,Local brand,beverage_and_confectionary,21069011,18%,0%,0,1,1
Haldiram Chips Classic Salted (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram Chips Cream Onion (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram Chips Mast Masala (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Duter Orange 23*15,Local brand,beverage_and_confectionary,30049062,12%,0%,0,1,1
Haldiram Chips Pudina Treat (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Duter Orange 26*21,Local brand,beverage_and_confectionary,30049062,12%,0%,0,1,1
Haldiram Chips Slated Ridged (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Everin Heeng 25Gm,Everin,staple_and_grocery,2016,5%,0%,0,1,1
Haldiram Chips Sweet Thai Chilli (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram ChipsTangy Tomato (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram Panga Achari (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,240,12
Haldiram Panga Tangy Tomato (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,240,12
Haldiram Ring Masala (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,180,12
Garlic Pickle 500Gm,Local brand,processed_food,19059040,5%,0%,0,1,1
Gas Hari Churan 100Gm,Local brand,processed_food,19059040,5%,0%,0,1,1
Ginger In Vinegar 500Gm,Local brand,processed_food,2209,18%,0%,0,1,1
Haldiram Ring Tomato (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,180,12
Haldiram Snac Lite Fingers (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,144,12
Haldiram Snac Lite Fries (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram Snac Lite Fun Wheel (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,144,12
Haldiram Soya Stix (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,144,1
Delicious Margarine 100 Gm,Amul,breakfast_dairy,405,12%,0%,0,150,1
Amul Mithai Mate EOE 400 Gm Tin,Amul,breakfast_dairy,403,18%,0%,0,48,1
Haldiram Takatak Baked CC (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Gold King Apple Murbba 500Gm,Local brand,processed_food,2001,12%,0%,0,1,1
Golgappe,Local brand,processed_food,21069099,12%,0%,0,1,1
Gorochan 1 Gm ,Local brand,processed_food,21069099,12%,0%,0,1,1
Gound 100Gm,Local brand,processed_food,21069099,12%,0%,0,1,1
Gulshan Kachori Pitthi 200Gm,Local brand,processed_food,21069099,12%,0%,0,1,1
Haldiram Takatak Mango Achari (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram Takatak Masala (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Haldiram Takatak Multigrain (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Green Food Colour ,Local brand,home_and_kitchen,3004,0%,0%,0,1,1
Haldiram Tangy Tomato (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,192,12
Gulkand 1Kg,Local brand,processed_food,2001,12%,0%,0,1,1
Haldiram Cheezi Ball (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,80,10
Haldiram Chips Mast Masala (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,10
Haldiram Chips Pudina Treat (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,10
Haldiram Chips Slated Ridged (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Haldiram Panga Tangy Tomato (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Haldiram Mexilla Nacho Cheese (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Haldiram Mexilla Sweet Thai Chilli (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Haldiram Mexilla Tomato (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Haldiram Tangy Tomato (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Haldiram Poppits Barbeque (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,120,10
Juice Choice Sarbat Sst 7 Pcs ,Local brand,beverage_and_confectionary,21069011,18%,0%,0,1,1
Jumma Masala Fruit Chaat Pack,Local brand,processed_food,19053100,18%,0%,0,1,1
Haldiram Snac Lite Cornets (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Kishan Brand Heeng Choora 10Gm,Local brand,staple_and_grocery,9103030,5%,0%,0,1,1
Kitchen Dip Continental Sauce 950Gm,Local brand,processed_food,2103,12%,0%,0,1,1
Haldiram Snac Lite Fries (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Kitchen Dip Green Chilli Sauce 650Gm,Local brand,processed_food,2103,12%,0%,0,1,1
Kitchen Dip Red Chilli Sauce 650Gm,Local brand,processed_food,2103,12%,0%,0,1,1
Kitchen Dips Snack Sauce Sachet 9Gm,Local brand,processed_food,2103,12%,0%,0,1,1
Haldiram Snac Lite Fun Wheel (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,96,12
Lazeez Namkeen Boondi 400Gm,Local brand,processed_food,21069099,12%,0%,0,1,1
Haldiram Takatak Baked CC (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Aachar Masala 200Gm,Local brand,processed_food,2001,12%,0%,0,1,1
Haldiram Takatak Mango Achari (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Aayaat Premium Arabian Delights 250 Gm,Local brand,stationery_office_supply,4802,0%,0%,0,1,1
Ahuja Orange Red Colour Food 10Gm,Ajanta,staple_and_grocery,910,0%,0%,0,1,1
Ajanta Baking Powder 500Gm,Local brand,processed_food,21023000,12%,0%,0,1,1
Ajanta Orange Red Food Colour 100Gm,Ajanta,staple_and_grocery,910,0%,0%,0,1,1
Amla Pickle 500Gm,Local brand,processed_food,2001,12%,0%,0,1,1
Haldiram Takatak Multigrain (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,108,12
Ananda T20 Chai 100Gm,Local brand,beverage_and_confectionary,9023020,5%,0%,0,1,1
Apple Murabba 1Kg,Local brand,processed_food,3004,0%,0%,0,1,1
Apple Murabba Jai Ganesh 500Gm,Local brand,processed_food,3004,0%,0%,0,1,1
Arhar Murabba 500Gm,Local brand,processed_food,3004,0%,0%,0,1,1
Haldiram Takatak Masala (MRP 20),Haldiram,processed_food,21069099,12%,0%,0,96,5
Ashok Nutririch 50 Gm ,Local brand,staple_and_grocery,9103030,5%,0%,0,1,1
Haldiram Gol Mathi (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,504,12
Haldiram Popcorn (Mrp 5),Haldiram,processed_food,21069099,12%,0%,0,120,10
Baking Soda 100Gm,Local brand,processed_food,21023000,12%,0%,0,1,1
Balaji Diet Chips 60Gm,Local brand,processed_food,2106,12%,0%,0,1,1
Haldiram Popcorn (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,90,10
Haldiram Khatta Mitha (Mrp 10),Haldiram,processed_food,21069099,12%,0%,0,250,10
Bikano All Time Mixture 450Gm,BIKANO,processed_food,2106,12%,0%,0,1,1
Bikano Aloo Bhujia 40Gm,BIKANO,processed_food,2106,12%,0%,0,1,1
Bikano Chana Dal 200Gm,BIKANO,processed_food,2106,12%,0%,0,1,1
Bikano Chana Dal 40Gm,BIKANO,processed_food,2106,12%,0%,0,1,1
Bikano Chana Masala 35Gm,BIKANO,processed_food,2106,12%,0%,0,1,1
Bikano Chips 66Gm,BIKANO,processed_food,2106,12%,0%,0,1,1
