brand_id,brand_name,sub_brand_id,sub_brand_name
507,Oxylife,,
508,Revlon,,
509,Wild Stone,,
543,KRBL,,
545,Versace,,
546,DS Group,,
548,Neutrogena,,
549,Venesa healthcare,,
550,TTK Health care,,
551,Evergrain,,
552,Zydus Welness,,
553,Gatsby,,
358,PEDIA SURE,,
558,Layer'r,,
34,NESTLE,559,Nan Pro
560,McVities,,
561,McCain,,
562,Medimix,,
563,Kwality Walls,,
564,Savour,,
565,Secret,,
566,Superia,,
567,Vanesha,,
568,Versace,,
571,ENVY,,
555,Cadbury,,
5,HUL,482,Super Vasmol
34,NESTLE,557,Milo
34,NESTLE,556,Milkybar
343,JYOTI LABORATORIES L,500,Pril
343,JYOTI LABORATORIES L,503,Ujala
392,Local brand,554,God Gift
460,Loreal,472,Garnier
39,ITC INDIA LTD,569,B Natural
39,ITC INDIA LTD,570,Charmis
550,TTK Health care,572,EVA
574,GIO,,
575,V1969,,
582,Cavincare,617,Nyle
579,Adidas,,
580,Archies,,
581,Borosil,,
584,Cello,,
585,Flyer,,
586,He,,
587,Homefoil,,
588,Jovan,,
589,Milton,,
590,Polo Club,,
591,Rakesh Masale,,
592,Rite Bite,,
613,Wipro,,
594,Winkies,,
595,Bikaji,,
598,Roop Mantra,,
599,Duracell,,
600,Eagle,,
692,HUGGIES,576,Huggies
4,Godrej,602,Fair Glow
34,NESTLE,607,Milkmaid
608,Organic India,,
610,Puro,,
611,Ramdev,,
615,ZED Black,,
645,Guru Bhog,,
618,Bailley,,
543,KRBL,496,Unity
620,Boutique,,
621,Brut,,
1,Dabur,622,Dabur Glucose
1,Dabur,623,Gulabari
1,Dabur,624,Dabur Homemade
582,Cavincare,625,Garden
207,VINI Cosmetic,626,Glam up
550,TTK Health care,627,Good home
628,Kara,,
630,Nutrulite,,
631,Funflips,,
632,Dukes,,
634,Tata Q,,
635,Blue Heaven,,
636,Natures Essence,,
637,Assure,,
642,FRIC BERGEN,,
643,SK Bajaj,,
644,Baskin Robin,,
647,Wai Wai,,
648,Marlboro,,
698,Bulk Packs,360,Bulk Daal
650,CP EASY SNACKS,,
646,GLONUTS,,
1,Dabur,573,FEM
711,Bagrrys,,
1,Dabur,597,Dabur Anmol
712,Biotique,,
34,NESTLE,577,Barone
454,Emami,601,Fair & handsome
34,NESTLE,629,Nestea
2,Fena,134,Fena_Cake
87,FERRERO,633,Nutella
207,VINI Cosmetic,612,White tone
343,JYOTI LABORATORIES L,605,Xpert
343,JYOTI LABORATORIES L,606,Maxo
392,Local brand,593,SBM
582,Cavincare,596,Chik
582,Cavincare,583,Spinz
613,Wipro,614,Safewash
244,HAMDARD ROOH AFZA,603,Safi
56,P&G,609,Venus
4,Godrej,619,BBlunt
5,HUL,604,Brylcreem
56,P&G,578,Ambipur
183,PARLE AGRO,653,B Fizz
659,Gramfactory,675,GramFactory Food
659,Gramfactory,673,Gramfactory Flour
663,Non Branded,,
657,Pedigree,,
658,Daily Foods,,
664,Picasona,,
249,Pidilite,679,Fevistick
724,Rakesh,,
7,Reckitt Benckiser,668,ENFAGROW
249,Pidilite,677,Fevicol
392,Local brand,669,Color Mate
85,Pepsico,46,FRITOLAYS
34,NESTLE,35,Maggi
660,BRIJNANDAN,,
263,Delhi Pasand,,
547,CORNITOS,,
665,WAGHBAKRI,,
666,SENSIBLE PORTION,,
244,HAMDARD ROOH AFZA,,
413,PAPER BOAT,,
667,LONDON DAIRY,,
440,INDO NISSIN,,
426,KELLOGS INDIA,,
398,LOTTE,,
87,FERRERO,,
39,ITC INDIA LTD,,
183,PARLE AGRO,,
659,Gramfactory,672,Eco Rice
281,Pansari Industries,182,PANSARI
671,BL Agro,,
704,AGRO TECH,379,Act II
725,Panasonic,,
426,KELLOGS INDIA,43,PRINGLES
713,Diversey,,
676,Eveready,,
714,Jolen,,
681,Hallo,,
682,Lacto Calamine,,
715,Nakodas,,
716,LivinNature,,
685,Vasmol,,
717,Skore,,
688,Guggul Agarbatti,,
687,Eveready,,
718,Hully Gully,,
719,Weikfield,,
720,Hari Patti,,
598,Roop Mantra,670,Divisa Herbal
114,Ruchi Soya Ltd,115,Mahakosh
721,Alainne,,
659,Gramfactory,656,ECO Sugar
245,Regent Enterprises,247,Maanik
726,Havmor,,
722,Coze,,
727,Vedsun,,
723,Rasna,,
728,Agmark Rooh,,
249,Pidilite,678,Fevikwik
470,SOFY,686,Unicharm
476,V Wash,680,Glenmark
454,Emami,684,Zandu
729,Suhana,,
416,Zandu Sona,683,Zandu Balm
730,Nirma,,
731,Spotzero,,
732,Volini,,
733,Baidyanath,,
734,Ustraa,,
735,Paragon,,
736,Suthol,,
737,Epigamia,,
5,HUL,18,Dove
582,Cavincare,616,Indica
738,Glucovita,,
659,Gramfactory,674,Gramfactory Pulses
4,Godrej,473,Godrej Protect
543,KRBL,124,India Gate
5,HUL,20,Lifebuoy
376,Chings,377,Smith & Jones
739,Kohinoor Foods,,
740,SEG Masala,,
741,Pintola,,
742,Nourish,,
151,Mars International,153,Snickers
743,Asianpaints Viroprot,,
85,Pepsico,107,Slice
744,Bagrry'S,,
168,MONDELEZ,173,Chocliars
745,Jovees,,
747,Leeford'S,,
749,Dwarkesh Dilkhush,,
750,Mala'S,,
751,Hitkary,,
752,Kelyn Breez,,
753,Satmola,,
754,Beardo,,
659,Gramfactory,748,Gramfactory Dryfruit
755,Ecolife,,
756,Clorox,,
757,Oxyglow,,
758,24 Mantra Organic,,
759,Whiskas,,
760,Majestique,,
761,Mamaearth,,
762,Rahat Rooh,,
763,Noorani,,
546,DS Group,764,DS_Pulse
582,Cavincare,,
191,Johnsons & Johnsosn,,
765,NatureLand Organics,,
766,Villbee,,
151,Mars International,769,M&M
376,Chings,770,CHING'S
771,Humdard,,
659,Gramfactory,654,ECO Atta
